"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2574","contact page title","firefox","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","1130","contact html test for chamarthi@gmail.com","webkit","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","533","contact html test for vasavi@gmail.com","chromium","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","5207","Amazon Search Product functionality","webkit","2026-03-12","passed","2026-03-12","","amazon.spec.js","",""
"","916","get started link","chromium","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","692","has title","chromium","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","1209","contact html test for chamarthi@gmail.com","firefox","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","2915","Amazon Search Product functionality","chromium","2026-03-12","passed","2026-03-12","","amazon.spec.js","",""
"","697","contact page submit","chromium","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","1812","has title","firefox","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","1824","contact page submit","firefox","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","1012","has title","webkit","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","443","contact page title","chromium","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","1258","contact html test for vasavi@gmail.com","webkit","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","1477","contact page submit","webkit","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","1447","get started link","firefox","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","1262","get started link","webkit","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","738","contact page title","webkit","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","5405","Amazon Search Product functionality","firefox","2026-03-12","passed","2026-03-12","","amazon.spec.js","",""
"","654","contact html test for chamarthi@gmail.com","chromium","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","1229","contact html test for vasavi@gmail.com","firefox","2026-03-12","passed","2026-03-12","","example.spec.js","",""
