"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","contact page submit","chromium","2026-03-13","skipped","2026-03-13","","example.spec.js","",""
"","6303","test","chromium","2026-03-13","failed","2026-03-13","","nykaa.spec.js","",""
"","1862","test","webkit","2026-03-13","failed","2026-03-13","","rangerover.spec.js","",""
"","2","contact page title","chromium","2026-03-13","skipped","2026-03-13","","example.spec.js","",""
"","4401","Amazon Search Product functionality","chromium","2026-03-13","passed","2026-03-13","","amazon.spec.js","",""
"","1","contact page title","firefox","2026-03-13","skipped","2026-03-13","","example.spec.js","",""
"","6614","Flipkart search functionality","webkit","2026-03-13","failed","2026-03-13","","flipkart.spec.js","",""
"","0","contact page submit","webkit","2026-03-13","skipped","2026-03-13","","example.spec.js","",""
"","439","get started link","chromium","2026-03-13","passed","2026-03-13","","example.spec.js","",""
"","11204","test","firefox","2026-03-13","failed","2026-03-13","","flipkart.spec.js","",""
"","1113","test","webkit","2026-03-13","passed","2026-03-13","","saucedemo.spec.js","",""
"","367","has title","chromium","2026-03-13","passed","2026-03-13","","example.spec.js","",""
"","11464","test","chromium","2026-03-13","failed","2026-03-13","","flipkart.spec.js","",""
"","0","contact page submit","firefox","2026-03-13","skipped","2026-03-13","","example.spec.js","",""
"","7520","Flipkart search functionality","firefox","2026-03-13","failed","2026-03-13","","flipkart.spec.js","",""
"","0","contact html test for vasavi@gmail.com","webkit","2026-03-13","skipped","2026-03-13","","example.spec.js","",""
"","1271","has title","firefox","2026-03-13","passed","2026-03-13","","example.spec.js","",""
"","2302","get started link","webkit","2026-03-13","passed","2026-03-13","","example.spec.js","",""
"","0","contact html test for chamarthi@gmail.com","webkit","2026-03-13","skipped","2026-03-13","","example.spec.js","",""
"","846","test","firefox","2026-03-13","passed","2026-03-13","","saucedemo.spec.js","",""
"","0","contact html test for vasavi@gmail.com","chromium","2026-03-13","skipped","2026-03-13","","example.spec.js","",""
"","6156","test","chromium","2026-03-13","passed","2026-03-13","","rangerover.spec.js","",""
"","6696","Amazon Search Product functionality","firefox","2026-03-13","passed","2026-03-13","","amazon.spec.js","",""
"","4212","has title","webkit","2026-03-13","passed","2026-03-13","","example.spec.js","",""
"","0","contact html test for chamarthi@gmail.com","firefox","2026-03-13","skipped","2026-03-13","","example.spec.js","",""
"","3801","Flipkart search functionality","chromium","2026-03-13","failed","2026-03-13","","flipkart.spec.js","",""
"","0","contact html test for chamarthi@gmail.com","chromium","2026-03-13","skipped","2026-03-13","","example.spec.js","",""
"","624","test","chromium","2026-03-13","passed","2026-03-13","","saucedemo.spec.js","",""
"","6827","test","webkit","2026-03-13","failed","2026-03-13","","flipkart.spec.js","",""
"","30101","test","firefox","2026-03-13","broken","2026-03-13","","nykaa.spec.js","",""
"","6854","test","webkit","2026-03-13","failed","2026-03-13","","nykaa.spec.js","",""
"","5187","Amazon Search Product functionality","webkit","2026-03-13","passed","2026-03-13","","amazon.spec.js","",""
"","12781","test","firefox","2026-03-13","passed","2026-03-13","","rangerover.spec.js","",""
"","0","contact html test for vasavi@gmail.com","firefox","2026-03-13","skipped","2026-03-13","","example.spec.js","",""
"","0","contact page title","webkit","2026-03-13","skipped","2026-03-13","","example.spec.js","",""
"","982","get started link","firefox","2026-03-13","passed","2026-03-13","","example.spec.js","",""
